TimeStamp,Model,Epochs,Iteration,Val_Loss,Val_Acc
20241216_023638,Model_1,10,1,0.7254,0.7062
20241216_023738,Model_1,10,2,0.8700,0.7402
20241216_023843,Model_1,10,3,1.0692,0.7379
20241216_023949,Model_1,10,4,1.1610,0.7470
20241216_024054,Model_1,10,5,1.4453,0.7576
20241216_024226,Model_1,15,1,1.2396,0.7387
20241216_024357,Model_1,15,2,1.3216,0.7364
20241216_024526,Model_1,15,3,1.6661,0.7364
20241216_024656,Model_1,15,4,1.3976,0.7462
20241216_024826,Model_1,15,5,2.0194,0.7372
20241216_025026,Model_1,20,1,2.3283,0.7530
20241216_025226,Model_1,20,2,2.6297,0.7538
20241216_025425,Model_1,20,3,1.4925,0.7402
20241216_025625,Model_1,20,4,2.8564,0.7470
20241216_025822,Model_1,20,5,3.5043,0.7462
20241216_030049,Model_1,25,1,4.2228,0.7477
20241216_030310,Model_1,25,2,2.5382,0.7455
20241216_030529,Model_1,25,3,1.9534,0.7477
20241216_030748,Model_1,25,4,2.6468,0.7576
20241216_031006,Model_1,25,5,2.9837,0.7500
20241216_031104,Model_2,10,1,0.8085,0.6511
20241216_031159,Model_2,10,2,1.2243,0.6692
20241216_031255,Model_2,10,3,1.6654,0.6495
20241216_031351,Model_2,10,4,2.3088,0.6677
20241216_031447,Model_2,10,5,2.1188,0.6715
20241216_031610,Model_2,15,1,1.6863,0.6518
20241216_031733,Model_2,15,2,2.1932,0.6858
20241216_031857,Model_2,15,3,2.3375,0.6866
20241216_032021,Model_2,15,4,1.9529,0.6820
20241216_032145,Model_2,15,5,2.1687,0.6782
20241216_032336,Model_2,20,1,2.7538,0.6828
20241216_032528,Model_2,20,2,3.1846,0.6858
20241216_032721,Model_2,20,3,2.9007,0.6911
20241216_032924,Model_2,20,4,3.1018,0.6866
20241216_033114,Model_2,20,5,2.4060,0.6782
20241216_033333,Model_2,25,1,2.6673,0.6941
20241216_033552,Model_2,25,2,2.8431,0.6964
20241216_033811,Model_2,25,3,3.3962,0.7002
20241216_034031,Model_2,25,4,1.7207,0.6858
20241216_034256,Model_2,25,5,1.1121,0.6601
20241216_034355,Model_3,10,1,1.0593,0.4675
20241216_034452,Model_3,10,2,1.0593,0.4675
20241216_034549,Model_3,10,3,1.0593,0.4675
20241216_034646,Model_3,10,4,1.0593,0.4675
20241216_034744,Model_3,10,5,1.0593,0.4675
20241216_034909,Model_3,15,1,1.0593,0.4675
